time,station,bin_id,action
1745761166.4187474,,,Simulation start
1745761167.4318664,1,,5 bins called
1745761167.4318664,2,,5 bins called
1745761209.1216063,1,2775,Bin stored
1745761230.226821,1,2774,Bin stored
1745761232.5995688,2,2563,Bin stored
1745761253.5117762,2,2562,Bin stored
1745761287.780219,1,2776,Bin stored
1745761311.5463002,2,1502,Bin stored
1745761332.1667356,2,1926,Bin stored
1745761349.0610056,1,2777,Bin stored
1745761353.8748493,2,2774,Bin stored
1745761355.4289787,2,,5 bins called
1745761390.5194793,1,1714,Bin stored
1745761391.7800941,1,,5 bins called
1745761408.4520488,2,2778,Bin stored
1745761416.6719587,,,Simulation end
